,Date,T2M,T2MDEW,T2M_RANGE,RH2M,GWETTOP,1_month_rainfall_aggregate,Cluster_Label,GMM_Cluster_Label
740,2001-07-21,27.694666666666667,22.34333333333333,7.5873333333333335,74.66333333333334,0.48000000000000004,87.3017,0,0
741,2001-08-01,27.061666666666667,22.465,7.141666666666666,77.26666666666667,0.5316666666666666,84.0604,0,0
742,2001-08-11,28.268,22.687,8.264,73.337,0.454,71.5345,0,0
743,2001-08-21,28.513333333333332,22.395333333333333,7.723333333333333,71.18466666666667,0.4246666666666667,14.7155,0,0
744,2001-09-01,29.081666666666667,21.62833333333333,10.303333333333333,66.935,0.4083333333333334,20.1724,0,0
745,2001-09-11,29.125999999999998,21.762,9.747,67.029,0.40700000000000003,66.8621,0,0
746,2001-09-21,27.608571428571427,22.45642857142857,6.977857142857142,74.91785714285713,0.45785714285714285,107.1379,0,0
747,2001-10-01,27.275000000000002,22.778333333333336,7.016666666666666,78.19166666666666,0.5399999999999999,179.5862,0,0
748,2001-10-11,27.689999999999998,22.937,7.7989999999999995,77.015,0.489,173.7758,0,0
749,2001-10-21,27.355999999999998,23.133333333333333,6.23,78.86466666666666,0.48666666666666664,204.8534,1,1
750,2001-11-01,28.021666666666665,22.368333333333336,6.511666666666667,72.79,0.47500000000000003,206.6897,0,0
751,2001-11-11,26.536,23.475,5.514,84.102,0.563,266.112,1,1
752,2001-11-21,25.905714285714286,22.993571428571425,4.113571428571428,84.31357142857142,0.6764285714285715,253.112,1,1
753,2001-12-01,25.59,23.455000000000002,3.6816666666666666,88.27499999999999,0.6733333333333333,309.0948,1,1
754,2001-12-11,25.097,20.299,6.252,75.612,0.596,299.5862,1,1
755,2001-12-21,25.446666666666665,23.562,3.4686666666666666,89.56466666666667,0.7419999999999999,300.5,1,1
756,2002-01-01,25.47666666666667,23.36,3.698333333333333,88.265,0.7716666666666666,180.8276,1,1
757,2002-01-11,24.721,21.145,5.36,81.02000000000001,0.718,97.6034,1,1
758,2002-01-21,25.212666666666667,22.134666666666664,5.884,83.67666666666668,0.6453333333333333,107.8017,1,1
759,2002-02-01,25.983333333333334,23.175,4.213333333333334,85.01166666666667,0.6716666666666667,142.5259,1,1
760,2002-02-11,25.216,21.917,5.703,82.518,0.6719999999999999,136.8707,1,1
761,2002-02-21,25.896666666666665,22.021666666666665,6.285,79.99,0.5766666666666667,60.7241,1,1
762,2002-03-01,26.541666666666668,21.653333333333336,7.675,76.01833333333333,0.5,25.7672,0,0
763,2002-03-11,27.308,22.137,7.939,75.051,0.46799999999999997,35.7672,0,0
764,2002-03-21,28.444666666666667,22.423333333333336,8.417333333333334,72.03266666666667,0.43066666666666664,46.4483,0,0
765,2002-04-01,29.32166666666667,22.80333333333333,9.551666666666668,70.65166666666667,0.43333333333333335,61.2155,0,0
766,2002-04-11,28.93,23.219,7.603,73.176,0.44299999999999995,108.7328,0,0
767,2002-04-21,28.437142857142856,23.55857142857143,6.708571428571429,76.18857142857144,0.4628571428571429,154.5172,0,0
768,2002-05-01,27.953333333333333,24.563333333333333,5.575,82.82333333333334,0.5516666666666666,188.5172,1,1
769,2002-05-11,29.469,24.29,7.76,75.253,0.47000000000000003,133.8707,0,0
770,2002-05-21,29.088666666666665,23.628,7.6,74.02866666666667,0.4393333333333333,93.2328,0,0
771,2002-06-01,28.896666666666665,23.34,7.765000000000001,73.62166666666667,0.43333333333333335,30.4052,0,0
772,2002-06-11,28.558,23.168,7.138,74.159,0.44299999999999995,25.4569,0,0
773,2002-06-21,29.010714285714283,22.84642857142857,8.319285714285714,71.36214285714286,0.4342857142857143,8.9914,0,0
774,2002-07-01,29.69333333333333,22.444999999999997,9.503333333333332,67.16833333333334,0.395,7.8362,0,0
775,2002-07-11,29.401,21.999000000000002,9.318000000000001,66.624,0.385,11.3793,0,0
776,2002-07-21,29.034,21.875999999999998,8.362,67.13933333333334,0.35200000000000004,29.9052,0,0
