Date,T2M,T2MDEW,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PS,WS2M,WS2M_MAX,WS2M_MIN,GWETTOP,GWETROOT,GWETPROF,1_month_rainfall_aggregate,1_month_rainfall_aggregate_avg
2006-12-01,25.88,22.80666666666667,25.78333333333333,4.13,28.40833333333333,24.276666666666667,17.325,83.425,100.61166666666666,3.67,5.0633333333333335,2.6283333333333334,0.8250000000000001,0.8133333333333334,0.8066666666666666,279.1293,341.21
2006-12-11,25.647,23.084,25.639999999999997,4.1850000000000005,28.081,23.894,17.658,85.962,100.606,3.3310000000000004,4.6450000000000005,2.221,0.849,0.845,0.837,225.7931,356.7336
2006-12-21,24.874000000000002,21.759999999999998,24.67733333333333,4.47,27.513333333333332,23.040666666666667,16.352666666666668,83.25733333333334,100.59066666666666,3.481333333333333,4.8406666666666665,2.4553333333333334,0.8433333333333334,0.8453333333333333,0.8413333333333333,222.5345,339.5899
2007-01-01,23.74,19.378333333333334,23.59,5.921666666666667,27.09,21.17,13.996666666666668,77.22833333333334,100.78000000000002,2.4783333333333335,3.48,1.7216666666666667,0.79,0.7833333333333333,0.7833333333333333,191.8621,301.2839
2007-01-11,25.265,22.827,25.250999999999998,4.345000000000001,27.851,23.506,17.366,86.582,100.648,3.803,5.354,2.6559999999999997,0.818,0.798,0.792,122.5086,237.2716
2007-01-21,24.882,21.75133333333333,24.848666666666666,4.772,27.660666666666668,22.889333333333337,16.262666666666668,83.14866666666667,100.77266666666667,3.4033333333333333,4.8646666666666665,2.302,0.7613333333333333,0.738,0.74,185.1034,180.1767
2007-02-01,24.661666666666665,20.828333333333333,24.679999999999996,6.18,28.16,21.97666666666667,15.348333333333334,79.905,100.76166666666666,2.766666666666667,4.001666666666666,1.805,0.7016666666666667,0.6766666666666667,0.6816666666666666,146.6034,143.8716
2007-02-11,25.565,22.130000000000003,25.845999999999997,6.968000000000001,29.380000000000003,22.412,16.656,82.20599999999999,100.622,2.122,3.162,1.178,0.682,0.638,0.642,102.3535,107.4868
2007-02-21,25.583333333333332,22.1725,26.016666666666666,5.760833333333333,28.935833333333335,23.171666666666667,16.723333333333333,82.095,100.495,2.81,4.069166666666667,1.6616666666666664,0.635,0.5958333333333333,0.6008333333333333,39.9397,77.2302
2007-03-01,25.68166666666667,21.80333333333333,26.205,7.984999999999999,30.255,22.27,16.336666666666666,80.38666666666667,100.515,2.06,3.276666666666667,1.1283333333333332,0.5916666666666667,0.5733333333333334,0.58,40.8879,64.8802
2007-03-11,26.394,21.625,27.24,7.925,30.939,23.009999999999998,16.199,76.524,100.482,2.527,3.868,1.48,0.512,0.525,0.533,46.3707,65.8649
2007-03-21,27.037333333333333,19.601333333333333,28.13,10.949333333333334,33.33733333333333,22.386000000000003,14.42,67.84066666666666,100.50533333333333,2.179333333333333,3.677333333333333,1.162,0.436,0.47400000000000003,0.484,24.1983,71.8262
2007-04-01,28.293333333333333,23.448333333333334,29.248333333333335,7.383333333333333,32.565000000000005,25.18166666666667,18.128333333333334,76.85666666666667,100.36500000000001,2.2516666666666665,3.8633333333333333,1.0083333333333333,0.47833333333333333,0.47000000000000003,0.4683333333333333,139.5776,78.3716
2007-04-11,26.827999999999996,24.330000000000002,27.223000000000003,4.609,29.526,24.922,19.082,86.64500000000001,100.321,2.158,3.166,1.1809999999999998,0.6849999999999999,0.6060000000000001,0.585,162.6638,91.55
2007-04-21,28.101428571428574,24.20357142857143,28.53142857142857,6.757142857142857,31.77857142857143,25.024285714285718,18.93857142857143,80.455,100.32642857142856,1.5564285714285713,2.5321428571428575,0.6185714285714285,0.6035714285714285,0.5735714285714285,0.5764285714285714,174.3362,104.1287
2007-05-01,28.815,24.706666666666667,29.233333333333334,7.2683333333333335,32.83166666666666,25.561666666666667,19.571666666666665,79.61333333333333,100.11333333333333,2.5733333333333333,3.473333333333333,1.5233333333333334,0.5333333333333333,0.5383333333333334,0.5433333333333333,67.931,133.4764
2007-05-11,28.843,23.865000000000002,29.252999999999997,7.5329999999999995,33.269999999999996,25.732999999999997,18.636000000000003,76.194,100.14,4.665,6.207,3.4619999999999997,0.489,0.51,0.517,42.9828,159.3523
2007-05-21,29.38,23.441333333333333,30.116,8.437999999999999,34.028666666666666,25.59,18.124000000000002,72.30733333333335,100.23133333333334,3.1093333333333333,4.399333333333333,2.068,0.448,0.4746666666666666,0.4799999999999999,92.0862,161.1474
